file                     ,fold_name             ,0           ,1           ,2           ,3           ,4
full.family3fold.None    ,gpcr_nuclear_protease ,491(0.73%)  ,1452(0.57%) ,1866(0.53%) ,1535(0.49%) ,352(0.44%)
full.family3fold.None    ,kinase                ,457(0.65%)  ,1754(0.43%) ,372(0.41%)  ,1066(0.37%) ,878(0.36%)
full.family3fold.None    ,other                 ,1452(0.58%) ,457(0.52%)  ,491(0.49%)  ,1868(0.42%) ,1160(0.37%)
full.family3fold.None    ,mean                  ,1452(0.45%) ,457(0.44%)  ,491(0.41%)  ,1866(0.35%) ,352(0.34%)
full.family3fold.rmMW500 ,gpcr_nuclear_protease ,491(0.73%)  ,1866(0.52%) ,1452(0.49%) ,352(0.46%)  ,1535(0.44%)
full.family3fold.rmMW500 ,kinase                ,457(0.55%)  ,372(0.39%)  ,878(0.36%)  ,1754(0.35%) ,563(0.34%)
full.family3fold.rmMW500 ,other                 ,1452(0.61%) ,491(0.49%)  ,457(0.47%)  ,372(0.39%)  ,1160(0.37%)
full.family3fold.rmMW500 ,mean                  ,1452(0.43%) ,491(0.41%)  ,457(0.39%)  ,352(0.36%)  ,1866(0.33%)
full.random3fold.None    ,gpcr_nuclear_protease ,1452(0.51%) ,1866(0.39%) ,1160(0.39%) ,457(0.36%)  ,1226(0.34%)
full.random3fold.None    ,kinase                ,457(0.45%)  ,1535(0.38%) ,878(0.37%)  ,1452(0.37%) ,372(0.35%)
full.random3fold.None    ,other                 ,457(0.48%)  ,1754(0.36%) ,352(0.36%)  ,1452(0.34%) ,736(0.34%)
full.random3fold.None    ,mean                  ,457(0.42%)  ,1452(0.41%) ,352(0.34%)  ,1866(0.33%) ,1754(0.33%)
full.random3fold.rmMW500 ,gpcr_nuclear_protease ,1452(0.46%) ,1866(0.38%) ,1160(0.38%) ,563(0.37%)  ,352(0.35%)
full.random3fold.rmMW500 ,kinase                ,563(0.37%)  ,1452(0.36%) ,878(0.36%)  ,457(0.35%)  ,352(0.35%)
full.random3fold.rmMW500 ,other                 ,457(0.50%)  ,352(0.36%)  ,1171(0.35%) ,491(0.34%)  ,1226(0.34%)
full.random3fold.rmMW500 ,mean                  ,1452(0.39%) ,457(0.38%)  ,352(0.36%)  ,1866(0.32%) ,1160(0.32%)
