file,fold_name,mwha,logp,rotb,hbd,hba,q
full.family3fold.None,gpcr_nuclear_protease,42.01%,38.49%,6.97%,3.71%,4.75%,4.07%
full.family3fold.None,kinase,43.73%,38.41%,5.67%,4.07%,4.94%,3.18%
full.family3fold.None,other,44.12%,37.81%,6.51%,3.65%,4.95%,2.96%
full.family3fold.None,mean,43.24%,38.27%,6.36%,3.82%,4.88%,3.43%
full.family3fold.rmMW500,gpcr_nuclear_protease,40.49%,40.81%,6.89%,3.55%,4.82%,3.43%
full.family3fold.rmMW500,kinase,40.87%,41.97%,5.37%,3.82%,4.90%,3.06%
full.family3fold.rmMW500,other,41.20%,42.10%,6.42%,2.98%,4.88%,2.43%
full.family3fold.rmMW500,mean,40.83%,41.60%,6.19%,3.49%,4.87%,3.01%
full.random3fold.None,gpcr_nuclear_protease,43.10%,38.83%,5.89%,3.98%,4.74%,3.46%
full.random3fold.None,kinase,43.75%,37.89%,6.46%,3.40%,5.15%,3.35%
full.random3fold.None,other,43.49%,37.72%,6.62%,3.38%,5.59%,3.20%
full.random3fold.None,mean,43.45%,38.17%,6.31%,3.60%,5.13%,3.35%
full.random3fold.rmMW500,gpcr_nuclear_protease,41.09%,41.82%,5.79%,3.33%,4.77%,3.22%
full.random3fold.rmMW500,kinase,41.29%,41.68%,6.40%,2.87%,4.84%,2.92%
full.random3fold.rmMW500,other,40.75%,41.58%,6.32%,3.11%,5.54%,2.71%
full.random3fold.rmMW500,mean,41.07%,41.70%,6.16%,3.10%,5.01%,2.96%
